id,date,account_id,currency,spend,pulled_at,platform
09/01/2025 - 1248420030291574,2025-09-01,1248420030291574,AED,51,2025-10-09T14:09:32Z,meta
09/02/2025 - 1248420030291574,2025-09-02,1248420030291574,AED,49,2025-10-09T14:09:32Z,meta
09/03/2025 - 1248420030291574,2025-09-03,1248420030291574,AED,50,2025-10-09T14:09:32Z,meta
09/04/2025 - 1248420030291574,2025-09-04,1248420030291574,AED,45,2025-10-09T14:09:32Z,meta
09/05/2025 - 1248420030291574,2025-09-05,1248420030291574,AED,47,2025-10-09T14:09:32Z,meta
09/06/2025 - 1248420030291574,2025-09-06,1248420030291574,AED,53,2025-10-09T14:09:32Z,meta
09/07/2025 - 1248420030291574,2025-09-07,1248420030291574,AED,55,2025-10-09T14:09:32Z,meta
09/08/2025 - 1248420030291574,2025-09-08,1248420030291574,AED,47,2025-10-09T14:09:32Z,meta
09/09/2025 - 1248420030291574,2025-09-09,1248420030291574,AED,48,2025-10-09T14:09:32Z,meta
09/10/2025 - 1248420030291574,2025-09-10,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/11/2025 - 1248420030291574,2025-09-11,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/12/2025 - 1248420030291574,2025-09-12,1248420030291574,AED,94,2025-10-09T14:09:32Z,meta
09/13/2025 - 1248420030291574,2025-09-13,1248420030291574,AED,100,2025-10-09T14:09:32Z,meta
09/14/2025 - 1248420030291574,2025-09-14,1248420030291574,AED,107,2025-10-09T14:09:32Z,meta
09/15/2025 - 1248420030291574,2025-09-15,1248420030291574,AED,99,2025-10-09T14:09:32Z,meta
09/16/2025 - 1248420030291574,2025-09-16,1248420030291574,AED,101,2025-10-09T14:09:32Z,meta
09/17/2025 - 1248420030291574,2025-09-17,1248420030291574,AED,104,2025-10-09T14:09:32Z,meta
09/18/2025 - 1248420030291574,2025-09-18,1248420030291574,AED,103,2025-10-09T14:09:32Z,meta
09/19/2025 - 1248420030291574,2025-09-19,1248420030291574,AED,89,2025-10-09T14:09:32Z,meta
09/20/2025 - 1248420030291574,2025-09-20,1248420030291574,AED,95,2025-10-09T14:09:32Z,meta
09/21/2025 - 1248420030291574,2025-09-21,1248420030291574,AED,114,2025-10-09T14:09:32Z,meta
09/22/2025 - 1248420030291574,2025-09-22,1248420030291574,AED,106,2025-10-09T14:09:32Z,meta
09/23/2025 - 1248420030291574,2025-09-23,1248420030291574,AED,103,2025-10-09T14:09:32Z,meta
09/24/2025 - 1248420030291574,2025-09-24,1248420030291574,AED,85,2025-10-09T14:09:32Z,meta
09/25/2025 - 1248420030291574,2025-09-25,1248420030291574,AED,67,2025-10-09T14:09:32Z,meta
09/26/2025 - 1248420030291574,2025-09-26,1248420030291574,AED,90,2025-10-09T14:09:32Z,meta
09/27/2025 - 1248420030291574,2025-09-27,1248420030291574,AED,106,2025-10-09T14:09:32Z,meta
09/28/2025 - 1248420030291574,2025-09-28,1248420030291574,AED,108,2025-10-09T14:09:32Z,meta
